title_th,vol_th,vol_raw,title_en,has_premium,premium_type,url,th_release_date
ฤดูร้อนผลิรักของเราสอง,3,3,Kimi to Shiranai Natsu ni Naru,0,None,https://www.phoenixnext.com/mgm00298-01.html,2026-03-18T00:00:00Z
แอนนีโมนีในห้วงรัก,4,4,Anemone wa Netsu wo Obiru,0,None,https://www.phoenixnext.com/mgm00297-01.html,2026-03-18T00:00:00Z
หากวันใดใครตนนั้นใคร่กลืนกิน,8,8,"Watashi wo Tabetai, Hitodenashi",0,None,https://www.phoenixnext.com/mgm00296-01.html,2026-03-18T00:00:00Z
หากวันใดใครตนนั้นใคร่กลืนกิน,7,7,"Watashi wo Tabetai, Hitodenashi",0,None,https://www.phoenixnext.com/mgm00295-01.html,2026-03-18T00:00:00Z
กระจอกอย่างแกยังไงก็แพ้จอมมาร ขอสู้เพื่อชีวิตแสนสบายกับคนรักข้างกายและดาบต้องสาป,2,1-2,"Omae Gotoki ga Maou ni Kateru to Omouna"" to Yuusha Party wo Tsuihou sareta node, Outo de Kimama ni Kurashitai",1,Special Set,https://www.phoenixnext.com/mgm00292-01p.html,2026-01-28T00:00:00Z
สัมพันธ์ลับสัปดาห์ละครั้ง ~ช่วงเวลาห้าพันเยนของสองเรา~,4,4,"Shuu ni Ichido Classmate wo Kau Hanashi: Futari no Jikan, Iiwake no 5000-en",0,None,https://www.phoenixnext.com/lnm0024-01.html,2026-01-19T00:00:00Z
ร้อยรัก ร้อยผูกพัน,1,1,100-nichigo ni Saku Yuri,0,None,https://www.phoenixnext.com/mgm00286-01.html,2026-01-19T00:00:00Z
สัมพันธ์ลับสัปดาห์ละครั้ง ~ช่วงเวลาห้าพันเยนของสองเรา~,4,4,"Shuu ni Ichido Classmate wo Kau Hanashi: Futari no Jikan, Iiwake no 5000-en",1,Short Story Set,https://www.phoenixnext.com/lnm0024-05p.html,2025-12-24T00:00:00Z
การปฏิวัติเวทมนตร์ขององค์หญิงเกิดใหม่กับยัยคุณหนูยอดอัจฉริยะ,7,7,Tensei Oujo to Tensai Reijou no Mahou Kakumei,1,Premium Set,https://www.phoenixnext.com/mg1150-01p.html,2025-07-25T00:00:00Z
สัมพันธ์ลับสัปดาห์ละครั้ง ~ช่วงเวลาห้าพันเยนของสองเรา~,1,1,"Shuu ni Ichido Classmate wo Kau Hanashi: Futari no Jikan, Iiwake no 5000-en",0,None,https://www.phoenixnext.com/lnm0021-01.html,2025-07-09T00:00:00Z
การปฏิวัติเวทมนตร์ขององค์หญิงเกิดใหม่กับยัยคุณหนูยอดอัจฉริยะ,7,7,Tensei Oujo to Tensai Reijou no Mahou Kakumei,0,None,https://www.phoenixnext.com/ln0757-01.html,2025-07-09T00:00:00Z
ชิโนะกับเร็น,1,1,Shino to Ren,0,None,https://www.phoenixnext.com/mgm00265-01.html,2025-07-09T00:00:00Z
